age,attrition,businesstravel,dailyrate($),department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate($),jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome($),monthlyrate($),numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome($),datebirth,salary($),roledepartament,numberchildren,remotework,edad_temp
52,yes,unknown,2047.5,unknown,2,1,unknown,1,27,1,female,255.9375,1,5, manager ,4,married,16537.5,42997.5,1,True,no,15,3,4,full time,1,33.0,3,3,32,,6,9,16537.5,1970-01-01 00:00:00.000001971,198450.0,unknown,,True,55
36,no,unknown,556.2566609977324,unknown,2,4,life sciences,1,28,3,female,69.53208262471655,3,2, manufacturing director ,2,single,4492.84,11681.39,9,True,yes,11,3,4,unknown,0,18.0,2,3,16,,5,12,4492.84,1970-01-01 00:00:00.000001987,53914.11,unknown,,False,55
33,no,travel rarely,556.2566609977324,unknown,28,4,life sciences,1,29,2,male,69.53208262471655,3,2, laboratory technician ,3,married,4492.84,11681.39,1,True,unknown,12,3,2,part time,1,15.0,3,3,15,,5,7,4492.84,1970-01-01 00:00:00.000001990,53914.11,unknown,,True,55
34,no,non travel,412.8015873015873, sales ,10,3,life sciences,1,30,4,male,51.60019841269841,3,2, sales executive ,3,unknown,3334.17,8668.83,1,True,yes,14,3,3,part time,1,15.0,3,3,15,,0,7,3334.17,1970-01-01 00:00:00.000001989,40010.0, sales executive     sales ,,True,55
41,no,unknown,1077.8650793650793, sales ,37,1,unknown,1,31,3,female,134.7331349206349,3,3, sales executive ,3,divorced,8705.83,22635.17,0,True,unknown,13,3,4,full time,1,,3,4,22,,13,5,8705.83,1970-01-01 00:00:00.000001982,104470.0, sales executive     sales ,,True,55
47,no,unknown,1032.4872861766066, research & development ,25,3,medical,1,32,1,male,129.06091077207583,3,3, healthcare representative ,3,unknown,8339.32,21682.23,2,True,unknown,23,4,2,unknown,0,25.0,3,3,17,,12,11,8339.32,1970-01-01 00:00:00.000001976,100071.84, healthcare representative     research & development ,,True,55
53,no,travel rarely,1973.9841269841268,unknown,5,3,unknown,1,33,3,female,246.74801587301585,3,5, manager ,3,unknown,15943.72,41453.67,4,True,unknown,11,3,4,full time,1,26.0,3,2,14,,4,8,15943.72,1970-01-01 00:00:00.000001970,191324.62,unknown,,True,55
35,no,unknown,556.2566609977324,unknown,1,4,marketing,1,34,3,male,69.53208262471655,2,2, sales executive ,1,single,4492.84,11681.39,0,True,no,14,3,2,part time,0,16.0,2,3,15,,2,8,4492.84,1970-01-01 00:00:00.000001988,53914.11,unknown,,False,55
34,no,travel rarely,556.2566609977324,unknown,6,4,other,1,35,1,female,69.53208262471655,3,2, research scientist ,3,single,4492.84,11681.39,1,True,unknown,14,3,3,unknown,0,16.0,3,3,16,,2,10,4492.84,1970-01-01 00:00:00.000001989,53914.08,unknown,,True,55
46,no,travel rarely,1032.4872861766066,unknown,1,2,unknown,1,36,2,female,129.06091077207583,3,3, sales executive ,1,divorced,8339.32,21682.23,1,True,no,25,4,3,part time,3,24.0,2,3,24,,15,7,8339.32,1970-01-01 00:00:00.000001977,100071.84,unknown,,True,55
43,no,unknown,1657.3968253968255,unknown,16,3,unknown,1,37,4,female,207.1746031746032,3,4, manager ,4,married,13386.666666666666,34805.33,5,True,unknown,22,4,3,full time,1,22.0,3,3,17,,1,9,13386.666666666666,1970-01-01 00:00:00.000001980,160640.0,unknown,,True,55
36,no,unknown,331.1904761904762, research & development ,6,3,life sciences,1,38,4,male,41.398809523809526,3,1, laboratory technician ,4,married,2675.0,6955.0,0,True,unknown,11,3,3,full time,1,16.0,4,3,15,,10,11,2675.0,1970-01-01 00:00:00.000001987,32100.0, laboratory technician     research & development ,,True,55
60,no,travel frequently,1059.1904761904764,unknown,28,3,unknown,1,39,3,female,132.39880952380955,2,3, sales executive ,1,married,8555.0,22243.0,4,True,no,19,3,4,full time,0,22.0,5,4,18,13,13,11,8555.0,1970-01-01 00:00:00.000001963,102660.0,unknown,,True,55
40,no,travel frequently,1080.7539682539684,unknown,5,4,unknown,1,40,4,male,135.09424603174605,2,3, sales executive ,1,married,8729.17,22695.83,5,True,yes,21,4,3,full time,1,20.0,2,3,18,,1,12,8729.17,1970-01-01 00:00:00.000001983,104750.0,unknown,,False,55
32,no,travel rarely,635.7619047619048,unknown,4,3,unknown,1,41,3,female,79.4702380952381,2,2, manufacturing director ,3,married,5135.0,13351.0,1,True,no,12,3,3,full time,1,14.0,3,3,14,,6,8,5135.0,1970-01-01 00:00:00.000001991,61620.0,unknown,,False,55
41,no,travel rarely,487.0873015873016,unknown,35,3,unknown,1,42,3,male,60.8859126984127,3,1, laboratory technician ,1,single,3934.17,10228.83,2,True,yes,13,3,3,full time,0,20.0,3,3,18,,2,17,3934.17,1970-01-01 00:00:00.000001982,47210.0,unknown,,True,55
53,no,unknown,1582.7713464696226,unknown,2,2,medical,1,43,3,male,197.84641830870282,3,4, manager ,3,divorced,12783.92,33238.2,6,True,no,13,3,3,full time,1,22.0,3,4,17,,15,2,12783.92,1970-01-01 00:00:00.000001970,153407.07,unknown,,False,55
36,yes,travel rarely,290.03550973654063,unknown,16,4,unknown,1,44,3,female,36.25443871706758,4,1, laboratory technician ,1,single,2342.5941666666668,6090.75,1,True,unknown,16,3,3,part time,0,18.0,1,3,17,,15,14,2342.5941666666668,1970-01-01 00:00:00.000001987,28111.13,unknown,,True,55
46,no,unknown,476.1507936507937,unknown,8,4,life sciences,1,45,4,female,59.51884920634921,2,2, research scientist ,1,divorced,3845.83,9999.17,8,True,yes,23,4,1,part time,3,,2,3,16,,1,7,3845.83,1970-01-01 00:00:00.000001977,46150.0,unknown,,False,55
38,no,travel rarely,556.2566609977324,unknown,1,4,unknown,1,46,4,male,69.53208262471655,3,2, sales executive ,2,married,4492.84,11681.39,0,True,no,15,3,1,unknown,2,16.0,3,3,15,,5,8,4492.84,1970-01-01 00:00:00.000001985,53914.11,unknown,,True,55
51,no,unknown,1032.4872861766066,unknown,1,4,unknown,1,47,1,female,129.06091077207583,2,3, healthcare representative ,1,single,8339.32,21682.23,3,True,unknown,20,4,3,part time,0,23.0,1,2,13,,12,8,8339.32,1970-01-01 00:00:00.000001972,100071.84,unknown,,True,55
43,no,unknown,1749.7380952380954,unknown,26,2,unknown,1,48,3,male,218.71726190476193,3,4, manager ,4,married,14132.5,36744.5,1,True,yes,12,3,4,full time,2,25.0,3,4,25,,4,12,14132.5,1970-01-01 00:00:00.000001980,169590.0,unknown,,True,55
37,no,unknown,290.03550973654063,unknown,1,3,life sciences,1,49,4,female,36.25443871706758,3,1, research scientist ,4,single,2342.5941666666668,6090.75,1,True,no,12,3,2,part time,0,,3,3,17,,5,7,2342.5941666666668,1970-01-01 00:00:00.000001986,28111.13,unknown,,True,55
32,no,travel rarely,556.2566609977324,unknown,8,2,technical degree,1,50,3,female,69.53208262471655,2,2, sales executive ,2,married,4492.8425,11681.39,1,True,yes,11,3,4,part time,0,,2,3,13,12,11,9,4492.8425,1970-01-01 00:00:00.000001991,53914.11,unknown,,True,55
38,no,unknown,1032.4872861766066,unknown,1,3,unknown,1,51,4,female,129.06091077207583,3,3, research director ,1,married,8339.32,21682.23,1,True,unknown,13,3,2,part time,1,15.0,3,3,15,,5,11,8339.32,1970-01-01 00:00:00.000001985,100071.84,unknown,,False,55
46,no,unknown,1582.7713464696226,unknown,3,3,life sciences,1,52,3,female,197.84641830870282,3,4, manager ,2,unknown,12783.92,33238.2,8,True,no,12,3,4,full time,1,23.0,2,4,13,,5,1,12783.92,1970-01-01 00:00:00.000001977,153407.07,unknown,,True,55
35,yes,travel rarely,1063.3174603174605,unknown,10,3,medical,1,53,4,male,132.91468253968256,2,3, sales executive ,1,married,8588.33,22329.67,9,True,unknown,17,3,3,unknown,0,15.0,3,3,13,,6,0,8588.33,1970-01-01 00:00:00.000001988,103059.96,unknown,,False,55
43,no,unknown,1973.9841269841268,unknown,6,3,medical,1,54,1,female,246.74801587301585,2,5, manager ,3,married,15943.72,41453.67,7,True,no,13,3,4,unknown,0,21.0,2,3,16,,6,14,15943.72,1970-01-01 00:00:00.000001980,191324.64,unknown,,True,55
56,no,non travel,556.2566609977324,unknown,1,4,life sciences,1,55,3,male,69.53208262471655,3,2, healthcare representative ,3,divorced,4492.84,11681.39,1,True,no,21,3,1,unknown,1,,2,2,13,,1,9,4492.84,1970-01-01 00:00:00.000001967,53914.08,unknown,,True,55
36,no,non travel,557.7619047619048,unknown,15,4,marketing,1,56,4,male,69.7202380952381,1,2, sales executive ,4,divorced,4505.0,11713.0,1,True,no,24,4,1,full time,1,,4,2,15,,11,11,4505.0,1970-01-01 00:00:00.000001987,54060.0,unknown,,True,55
38,no,unknown,556.2566609977324,unknown,6,3,medical,1,57,2,female,69.53208262471655,1,2, research scientist ,4,unknown,4492.8425,11681.39,7,True,unknown,12,3,4,part time,3,17.0,3,3,13,,1,9,4492.8425,1970-01-01 00:00:00.000001985,53914.11,unknown,,True,55
49,no,unknown,556.2566609977324,unknown,26,4,medical,1,58,3,female,69.53208262471655,3,2, manufacturing director ,1,unknown,4492.8425,11681.39,1,True,no,14,3,3,part time,0,16.0,2,2,15,,5,11,4492.8425,1970-01-01 00:00:00.000001974,53914.11,unknown,,False,55
39,no,travel rarely,608.936507936508,unknown,4,4,life sciences,1,59,4,female,76.1170634920635,2,2, sales executive ,3,married,4918.33,12787.67,4,True,unknown,14,3,3,full time,1,17.0,1,4,15,,5,9,4918.33,1970-01-01 00:00:00.000001984,59020.0,unknown,,True,55
40,no,unknown,1119.9603174603176,unknown,4,4,unknown,1,60,3,male,139.9950396825397,2,3, sales executive ,4,married,9045.833333333334,23519.17,7,True,no,11,3,1,full time,1,15.0,2,2,12,,2,11,9045.833333333334,1970-01-01 00:00:00.000001983,108550.0,unknown,,True,55
36,no,unknown,610.1746031746031,unknown,5,2,unknown,1,61,4,male,76.27182539682539,3,2, laboratory technician ,2,single,4928.33,12813.67,8,True,no,16,3,4,full time,0,16.0,3,4,13,,3,7,4928.33,1970-01-01 00:00:00.000001987,59140.0,unknown,,True,55
37,no,unknown,556.2566609977324,unknown,25,5,unknown,1,62,2,female,69.53208262471655,3,2, research scientist ,3,married,4492.8425,11681.39,3,True,yes,15,3,1,unknown,2,15.0,2,3,13,,10,7,4492.8425,1970-01-01 00:00:00.000001986,53914.11,unknown,,False,55
35,no,unknown,685.6984126984128,unknown,6,4,unknown,1,63,2,male,85.7123015873016,1,2, research scientist ,4,unknown,5538.33,14399.67,1,True,unknown,13,3,2,full time,0,,3,3,17,,11,8,5538.33,1970-01-01 00:00:00.000001988,66460.0,unknown,,True,55
33,no,travel frequently,556.2566609977324,unknown,6,3,life sciences,1,64,3,male,69.53208262471655,3,2, healthcare representative ,4,divorced,4492.84,11681.39,3,True,no,23,4,3,part time,1,15.0,2,1,13,,4,7,4492.84,1970-01-01 00:00:00.000001990,53914.11,unknown,,False,55
50,no,travel rarely,1441.65873015873, research & development ,24,3,unknown,1,65,4,male,180.20734126984124,3,4, manufacturing director ,3,married,11644.166666666666,30274.83,3,True,yes,18,3,4,full time,1,22.0,2,3,12,,1,5,11644.166666666666,1970-01-01 00:00:00.000001973,139730.0, manufacturing director     research & development ,,False,55
48,no,travel rarely,1032.4872861766066,unknown,4,4,unknown,1,66,3,male,129.06091077207583,2,3, healthcare representative ,3,single,8339.32,21682.23,7,True,unknown,14,3,2,part time,0,27.0,3,3,15,11,4,8,8339.32,1970-01-01 00:00:00.000001975,100071.84,unknown,,True,55
44,no,travel rarely,1374.2857142857142, sales ,28,3,unknown,1,67,4,female,171.78571428571428,4,4, sales executive ,4,married,11100.0,28860.0,3,True,unknown,18,3,3,unknown,1,,2,3,12,,11,11,11100.0,1970-01-01 00:00:00.000001979,133200.0, sales executive     sales ,,True,55
44,no,travel rarely,556.2566609977324,unknown,29,4,unknown,1,68,4,male,69.53208262471655,3,2, research scientist ,4,single,4492.8425,11681.39,1,True,unknown,25,4,2,part time,0,,3,3,20,,13,17,4492.8425,1970-01-01 00:00:00.000001979,53914.11,unknown,,True,55
40,no,unknown,556.2566609977324,unknown,25,1,unknown,1,69,2,female,69.53208262471655,4,2, healthcare representative ,3,unknown,4492.8425,11681.39,5,True,no,20,4,2,part time,3,15.0,0,3,12,,11,8,4492.8425,1970-01-01 00:00:00.000001983,53914.11,unknown,,True,55
34,no,travel rarely,689.9285714285714,unknown,2,4,unknown,1,70,3,female,86.24107142857143,3,2, healthcare representative ,4,single,5572.5,14488.5,1,True,unknown,11,3,4,full time,0,14.0,2,4,14,,4,11,5572.5,1970-01-01 00:00:00.000001989,66870.0,unknown,,True,55
35,no,non travel,556.2566609977324, research & development ,8,4,unknown,1,71,3,female,69.53208262471655,3,2, healthcare representative ,3,unknown,4492.84,11681.39,1,True,unknown,12,3,4,part time,1,,5,3,14,,2,9,4492.84,1970-01-01 00:00:00.000001988,53914.11, healthcare representative     research & development ,,True,55
50,no,unknown,1032.4872861766066,unknown,17,5,life sciences,1,72,4,female,129.06091077207583,2,3, research director ,1,unknown,8339.32,21682.23,5,True,no,15,3,3,part time,3,,3,3,14,11,1,11,8339.32,1970-01-01 00:00:00.000001973,100071.84,unknown,,False,55
49,no,unknown,1582.7713464696226,unknown,6,1,life sciences,1,73,3,female,197.8464183087028,2,4, healthcare representative ,3,unknown,12783.92,33238.2,2,True,unknown,19,3,2,full time,1,,3,3,15,,2,12,12783.92,1970-01-01 00:00:00.000001974,153407.07,unknown,,True,55
38,no,travel frequently,488.531746031746,unknown,1,3,life sciences,1,74,4,male,61.06646825396825,3,2, research scientist ,4,unknown,3945.8333333333335,10259.17,7,True,no,15,3,4,part time,2,19.0,4,3,13,,2,9,3945.8333333333335,1970-01-01 00:00:00.000001985,47350.0,unknown,,True,55
33,no,unknown,290.03550973654063,unknown,21,3,unknown,1,75,2,male,36.25443871706758,4,1, laboratory technician ,2,unknown,2342.5941666666668,6090.75,1,True,no,18,3,4,part time,3,14.0,6,3,14,,2,13,2342.5941666666668,1970-01-01 00:00:00.000001990,28111.13,unknown,,True,55
47,no,travel rarely,1032.4872861766066,unknown,4,3,life sciences,1,76,3,female,129.06091077207583,2,3, manufacturing director ,2,divorced,8339.32,21682.23,8,True,yes,12,3,3,part time,1,,4,3,22,,14,10,8339.32,1970-01-01 00:00:00.000001976,100071.84,unknown,,True,55
38,no,unknown,556.2566609977324, research & development ,8,3,unknown,1,77,4,female,69.53208262471655,2,2, research scientist ,2,divorced,4492.84,11681.39,1,True,unknown,16,3,3,unknown,1,20.0,3,3,20,,0,7,4492.84,1970-01-01 00:00:00.000001985,53914.08, research scientist     research & development ,,False,55
37,no,travel rarely,1032.4872861766066,unknown,10,3,life sciences,1,78,3,female,129.06091077207583,4,3, research director ,4,unknown,8339.32,21682.23,1,True,yes,25,4,1,part time,1,16.0,2,3,16,,6,8,8339.32,1970-01-01 00:00:00.000001986,100071.84,unknown,,True,55
30,no,unknown,556.2566609977324,unknown,2,3,unknown,1,79,3,male,69.53208262471655,2,2, healthcare representative ,4,married,4492.8425,11681.39,1,True,no,19,3,1,part time,3,11.0,3,3,11,,10,8,4492.8425,1970-01-01 00:00:00.000001993,53914.11,unknown,,True,55
58,no,travel rarely,1431.2380952380954,unknown,18,4,unknown,1,80,4,male,178.90476190476193,3,4, sales executive ,3,single,11560.0,30056.0,0,True,unknown,13,3,3,full time,0,38.0,1,2,37,,1,8,11560.0,1970-01-01 00:00:00.000001965,138720.0,unknown,,True,55
34,no,travel rarely,1032.4872861766066,unknown,5,3,unknown,1,81,3,female,129.06091077207583,2,3, manager ,1,single,8339.32,21682.23,2,True,unknown,12,3,4,unknown,0,14.0,6,3,11,,5,8,8339.32,1970-01-01 00:00:00.000001989,100071.84,unknown,,False,55
58,yes,travel rarely,1032.4872861766066,unknown,23,4,medical,1,82,4,female,129.06091077207583,3,3, healthcare representative ,4,married,8339.32,21682.23,1,True,unknown,12,3,4,part time,1,40.0,3,2,40,,15,6,8339.32,1970-01-01 00:00:00.000001965,100071.84,unknown,,True,55
38,no,unknown,1032.4872861766066,unknown,3,3,life sciences,1,83,1,male,129.06091077207583,3,3, sales executive ,3,divorced,8339.32,21682.23,0,True,unknown,12,3,3,unknown,2,,6,2,16,,5,13,8339.32,1970-01-01 00:00:00.000001985,100071.84,unknown,,True,55
29,no,travel frequently,1032.4872861766066,unknown,1,1,unknown,1,84,2,female,129.06091077207583,3,3, sales executive ,4,married,8339.32,21682.23,1,True,unknown,14,3,4,part time,1,11.0,5,3,11,,4,1,8339.32,1970-01-01 00:00:00.000001994,100071.84,unknown,,True,55
55,no,travel rarely,1964.9603174603176,unknown,1,3,medical,1,85,4,male,245.6200396825397,3,5, manager ,1,single,15870.83,41264.17,0,True,unknown,14,3,3,full time,0,37.0,2,3,36,,4,13,15870.83,1970-01-01 00:00:00.000001968,190450.0,unknown,,True,55
41,no,unknown,1652.34126984127,unknown,10,4,unknown,1,86,4,male,206.54265873015876,3,4, manager ,2,unknown,13345.83,34699.17,1,True,unknown,19,3,2,unknown,0,,2,3,22,,0,4,13345.83,1970-01-01 00:00:00.000001982,160149.96,unknown,,True,55
39,no,travel rarely,991.8174603174604, research & development ,1,3,unknown,1,87,3,male,123.97718253968254,4,3, healthcare representative ,4,unknown,8010.83,20828.17,0,True,no,17,3,1,part time,3,19.0,5,2,18,,3,7,8010.83,1970-01-01 00:00:00.000001984,96130.0, healthcare representative     research & development ,,False,55
38,no,unknown,1187.5396825396826,unknown,15,2,life sciences,1,88,3,male,148.44246031746033,2,3, research director ,4,unknown,9591.666666666666,24938.33,0,True,unknown,14,3,2,full time,1,,3,3,11,,2,9,9591.666666666666,1970-01-01 00:00:00.000001985,115100.0,unknown,,True,55
43,no,unknown,1582.7713464696226,unknown,12,3,unknown,1,89,1,male,197.84641830870282,2,4, research director ,2,unknown,12783.92,33238.2,1,True,no,11,3,3,full time,1,,3,3,25,,3,9,12783.92,1970-01-01 00:00:00.000001980,153407.07,unknown,,True,55
31,no,unknown,444.26984126984127,unknown,30,2,unknown,1,90,2,female,55.53373015873016,3,2, manufacturing director ,1,married,3588.33,9329.67,1,True,no,12,3,2,unknown,1,13.0,5,1,13,,3,12,3588.33,1970-01-01 00:00:00.000001992,43059.96,unknown,,True,55
50,no,travel rarely,1758.7142857142858, research & development ,27,4,life sciences,1,91,2,male,219.83928571428572,2,4, manager ,3,married,14205.0,36933.0,0,True,no,15,3,2,full time,1,28.0,2,3,27,,15,7,14205.0,1970-01-01 00:00:00.000001973,170460.0, manager     research & development ,,True,55
35,no,unknown,1032.4872861766066,unknown,25,3,technical degree,1,92,4,male,129.06091077207583,2,3, manufacturing director ,2,married,8339.32,21682.23,3,True,no,16,3,1,part time,0,,2,3,13,,4,8,8339.32,1970-01-01 00:00:00.000001988,100071.84,unknown,,False,55
47,no,unknown,522.7857142857143,unknown,16,4,unknown,1,93,3,male,65.34821428571429,4,2, manufacturing director ,3,unknown,4222.5,10978.5,1,True,yes,19,3,3,unknown,0,20.0,3,3,19,,2,7,4222.5,1970-01-01 00:00:00.000001976,50670.0,unknown,,True,55
35,no,unknown,1032.4872861766066, research & development ,25,4,unknown,1,94,3,female,129.06091077207583,3,3, healthcare representative ,3,divorced,8339.32,21682.23,1,True,yes,11,3,3,part time,1,,3,2,16,,10,1,8339.32,1970-01-01 00:00:00.000001988,100071.84, healthcare representative     research & development ,,True,55
40,no,travel rarely,1032.4872861766066,unknown,20,4,unknown,1,95,1,male,129.06091077207583,3,3, healthcare representative ,4,married,8339.32,21682.23,4,True,unknown,20,4,4,part time,1,14.0,6,3,11,,11,1,8339.32,1970-01-01 00:00:00.000001983,100071.84,unknown,,True,55
